Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
routines,org.apache.commons.validator.routines,TimeValidator,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCalendarValidator
routines,org.apache.commons.validator.routines,UrlValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines,UrlValidator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; MAX_UNSIGNED_16_BIT_INT; ALLOW_ALL_SCHEMES; ALLOW_2_SLASHES; NO_FRAGMENTS; ALLOW_LOCAL_URLS; SCHEME_REGEX; SCHEME_PATTERN; AUTHORITY_CHARS_REGEX; IPV6_REGEX; USERINFO_CHARS_REGEX; USERINFO_FIELD_REGEX; AUTHORITY_REGEX; AUTHORITY_PATTERN; PARSE_AUTHORITY_IPV6; PARSE_AUTHORITY_HOST_IP; PARSE_AUTHORITY_PORT; PARSE_AUTHORITY_EXTRA; PATH_REGEX; PATH_PATTERN; QUERY_REGEX; QUERY_PATTERN; DEFAULT_SCHEMES; DEFAULT_URL_VALIDATOR; options; allowedSchemes; authorityValidator; domainValidator
routines,org.apache.commons.validator.routines.checkdigit,ABANumberCheckDigit,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines.checkdigit,ABANumberCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ABAN_CHECK_DIGIT; POSITION_WEIGHT
routines,org.apache.commons.validator.routines.checkdigit,ABANumberCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModulusCheckDigit
routines,org.apache.commons.validator.routines.checkdigit,AbstractCheckDigit,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
routines,org.apache.commons.validator.routines.checkdigit,CASNumberCheckDigit,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines.checkdigit,CUSIPCheckDigit,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
routines,org.apache.commons.validator.routines.checkdigit,CUSIPCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; CUSIP_CHECK_DIGIT; POSITION_WEIGHT
