Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
routines,org.apache.commons.validator.routines,TimeValidator,2,0,16,15,150,16,0,2,0.8125,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\TimeValidator.java,25
routines,org.apache.commons.validator.routines,UrlValidator,28,4,18,9,356,52,0,0,0.2222222222222222,0,3,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\UrlValidator.java,31
routines,org.apache.commons.validator.routines.checkdigit,ABANumberCheckDigit,3,1,2,1,31,2,0,3,1.0,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\ABANumberCheckDigit.java,19
routines,org.apache.commons.validator.routines.checkdigit,AbstractCheckDigit,0,0,0,0,5,0,4,1,-1.0,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\AbstractCheckDigit.java,20
routines,org.apache.commons.validator.routines.checkdigit,CASNumberCheckDigit,9,0,5,3,79,8,0,3,0.6,0,3,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\CASNumberCheckDigit.java,22
routines,org.apache.commons.validator.routines.checkdigit,CheckDigit,0,0,2,0,20,2,1,0,-1.0,15,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\CheckDigit.java,21
routines,org.apache.commons.validator.routines.checkdigit,CheckDigitException,1,0,3,3,27,3,0,0,1.0,13,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\CheckDigitException.java,19
routines,org.apache.commons.validator.routines.checkdigit,CUSIPCheckDigit,3,1,3,1,48,4,0,3,1.0,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\CUSIPCheckDigit.java,19
routines,org.apache.commons.validator.routines.checkdigit,EAN13CheckDigit,3,1,2,1,30,2,0,3,1.0,3,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\EAN13CheckDigit.java,19
routines,org.apache.commons.validator.routines.checkdigit,ECNumberCheckDigit,7,0,5,3,71,8,0,3,0.6,0,3,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\ECNumberCheckDigit.java,22
routines,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,6,1,4,3,77,10,0,2,0.5,1,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\IBANCheckDigit.java,21
routines,org.apache.commons.validator.routines.checkdigit,ISBN10CheckDigit,2,1,4,1,53,6,0,3,1.0,2,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\ISBN10CheckDigit.java,19
routines,org.apache.commons.validator.routines.checkdigit,ISBNCheckDigit,4,3,2,2,54,8,0,2,0.0,0,4,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\ISBNCheckDigit.java,23
routines,org.apache.commons.validator.routines.checkdigit,ISINCheckDigit,4,1,3,1,57,7,0,3,1.0,1,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\ISINCheckDigit.java,19
routines,org.apache.commons.validator.routines.checkdigit,ISSNCheckDigit,2,1,4,1,32,6,0,3,1.0,1,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\ISSNCheckDigit.java,19
routines,org.apache.commons.validator.routines.checkdigit,LuhnCheckDigit,3,1,2,1,32,2,0,3,1.0,1,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\LuhnCheckDigit.java,19
routines,org.apache.commons.validator.routines.checkdigit,ModulusCheckDigit,4,0,10,5,134,17,11,2,0.3,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\ModulusCheckDigit.java,23
routines,org.apache.commons.validator.routines.checkdigit,ModulusTenCheckDigit,4,0,7,5,97,11,0,3,0.42857142857142855,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\ModulusTenCheckDigit.java,24
routines,org.apache.commons.validator.routines.checkdigit,SedolCheckDigit,4,1,4,1,60,6,0,3,0.75,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\SedolCheckDigit.java,19
routines,org.apache.commons.validator.routines.checkdigit,VerhoeffCheckDigit,5,1,3,2,72,7,0,2,0.0,0,2,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\checkdigit\VerhoeffCheckDigit.java,23
