Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
validator,org.apache.commons.validator.routines,CreditCardValidator.CreditCardRange,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: low; high; minLen; maxLen; lengths
validator,org.apache.commons.validator.routines,CreditCardValidator.CreditCardRange,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,CreditCardValidator.CreditCardRange,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: low; high; minLen; maxLen; lengths
validator,org.apache.commons.validator.routines,CurrencyValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,DateValidator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,DateValidator,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCalendarValidator
validator,org.apache.commons.validator.routines,DomainValidator.ArrayType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
validator,org.apache.commons.validator.routines,DomainValidator.ArrayType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,DomainValidator.IDNBUGHOLDER,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: IDN_TOASCII_PRESERVES_TRAILING_DOTS
validator,org.apache.commons.validator.routines,DomainValidator.IDNBUGHOLDER,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
validator,org.apache.commons.validator.routines,DomainValidator.Item,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: type; values
