Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
validator,org.apache.commons.validator,GenericValidator,isByte,3,1,1,81,0,,
validator,org.apache.commons.validator,GenericValidator,isCreditCard,3,1,1,91,0,,
validator,org.apache.commons.validator,GenericValidator,isDate,3,1,2,100,0,,
validator,org.apache.commons.validator,GenericValidator,isDate,3,1,3,114,0,,
validator,org.apache.commons.validator,GenericValidator,isDouble,3,1,1,131,0,,
validator,org.apache.commons.validator,GenericValidator,isEmail,3,1,1,141,0,,
validator,org.apache.commons.validator,GenericValidator,isFloat,3,1,1,151,0,,
validator,org.apache.commons.validator,GenericValidator,isInRange,3,1,3,161,0,,
validator,org.apache.commons.validator,GenericValidator,isInRange,3,1,3,174,0,,
validator,org.apache.commons.validator,GenericValidator,isInRange,3,1,3,187,0,,
validator,org.apache.commons.validator,GenericValidator,isInRange,3,1,3,200,0,,
validator,org.apache.commons.validator,GenericValidator,isInRange,3,1,3,213,0,,
validator,org.apache.commons.validator,GenericValidator,isInRange,3,1,3,226,0,,
validator,org.apache.commons.validator,GenericValidator,isInt,3,1,1,239,0,,
validator,org.apache.commons.validator,GenericValidator,isLong,3,1,1,249,0,,
validator,org.apache.commons.validator,GenericValidator,isShort,3,1,1,259,0,,
validator,org.apache.commons.validator,GenericValidator,isUrl,3,1,1,269,0,,
validator,org.apache.commons.validator,GenericValidator,matchRegexp,6,2,2,281,0,,
validator,org.apache.commons.validator,GenericValidator,maxLength,3,1,2,296,0,,
validator,org.apache.commons.validator,GenericValidator,maxLength,4,1,3,307,0,org.apache.commons.validator.GenericValidator,org.apache.commons.validator.GenericValidator
validator,org.apache.commons.validator,GenericValidator,maxValue,3,1,2,320,0,,
validator,org.apache.commons.validator,GenericValidator,maxValue,3,1,2,331,0,,
validator,org.apache.commons.validator,GenericValidator,maxValue,3,1,2,344,0,,
validator,org.apache.commons.validator,GenericValidator,maxValue,3,1,2,355,0,,
validator,org.apache.commons.validator,GenericValidator,minLength,3,1,2,366,0,,
validator,org.apache.commons.validator,GenericValidator,minLength,4,1,3,377,0,org.apache.commons.validator.GenericValidator,org.apache.commons.validator.GenericValidator
validator,org.apache.commons.validator,GenericValidator,minValue,3,1,2,390,0,,
validator,org.apache.commons.validator,GenericValidator,minValue,3,1,2,401,0,,
validator,org.apache.commons.validator,GenericValidator,minValue,3,1,2,412,0,,
validator,org.apache.commons.validator,GenericValidator,minValue,3,1,2,423,0,,
validator,org.apache.commons.validator,ISBNValidator,ISBNValidator,2,1,0,34,0,,
validator,org.apache.commons.validator,ISBNValidator,isValid,3,1,1,40,0,,
validator,org.apache.commons.validator,Msg,clone,8,1,0,57,0,,
validator,org.apache.commons.validator,Msg,getBundle,3,1,0,71,0,,
validator,org.apache.commons.validator,Msg,getKey,3,1,0,80,0,,
validator,org.apache.commons.validator,Msg,getName,3,1,0,88,0,,
validator,org.apache.commons.validator,Msg,isResource,3,1,0,96,0,,
validator,org.apache.commons.validator,Msg,setBundle,3,1,1,105,0,,
validator,org.apache.commons.validator,Msg,setKey,3,1,1,114,0,,
validator,org.apache.commons.validator,Msg,setName,3,1,1,122,0,,
validator,org.apache.commons.validator,Msg,setResource,3,1,1,130,0,,
validator,org.apache.commons.validator,Msg,toString,13,1,0,139,0,,
validator,org.apache.commons.validator,UrlValidator,UrlValidator,3,1,0,185,0,,
validator,org.apache.commons.validator,UrlValidator,UrlValidator,3,1,1,192,0,,
validator,org.apache.commons.validator,UrlValidator,UrlValidator,3,1,1,202,0,,
validator,org.apache.commons.validator,UrlValidator,UrlValidator,10,3,2,214,0,,
validator,org.apache.commons.validator,UrlValidator,countToken,12,3,2,235,0,,
validator,org.apache.commons.validator,UrlValidator,isValid,28,9,1,254,0,org.apache.commons.validator.UrlValidator,org.apache.commons.validator.UrlValidator
validator,org.apache.commons.validator,UrlValidator,isValidAuthority,61,15,1,298,0,,
validator,org.apache.commons.validator,UrlValidator,isValidFragment,6,2,1,390,0,,
validator,org.apache.commons.validator,UrlValidator,isValidPath,18,5,1,403,0,org.apache.commons.validator.UrlValidator,org.apache.commons.validator.UrlValidator
validator,org.apache.commons.validator,UrlValidator,isValidQuery,6,2,1,431,0,,
validator,org.apache.commons.validator,UrlValidator,isValidScheme,12,4,1,444,0,,
validator,org.apache.commons.validator,Validator,Validator,3,1,1,136,0,,
validator,org.apache.commons.validator,Validator,Validator,7,2,2,148,0,,
validator,org.apache.commons.validator,Validator,Validator,8,2,3,166,0,,
validator,org.apache.commons.validator,Validator,clear,6,1,0,187,0,,
validator,org.apache.commons.validator,Validator,getClassLoader,12,4,0,203,0,,
validator,org.apache.commons.validator,Validator,getFormName,3,1,0,229,0,,
validator,org.apache.commons.validator,Validator,getOnlyReturnErrors,3,1,0,237,0,,
validator,org.apache.commons.validator,Validator,getPage,3,1,0,245,0,,
validator,org.apache.commons.validator,Validator,getParameterValue,3,1,1,260,0,,
validator,org.apache.commons.validator,Validator,getUseContextClassLoader,3,1,0,272,0,,
validator,org.apache.commons.validator,Validator,setClassLoader,3,1,1,280,0,,
validator,org.apache.commons.validator,Validator,setFieldName,3,1,1,291,0,,
validator,org.apache.commons.validator,Validator,setFormName,3,1,1,301,0,,
validator,org.apache.commons.validator,Validator,setOnlyReturnErrors,3,1,1,309,0,,
validator,org.apache.commons.validator,Validator,setPage,3,1,1,319,0,,
