Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
commons-validator,org.apache.commons.validator.routines,CreditCardValidator,29,15,16,13,309,48,0,0,0.1875,2,5,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\CreditCardValidator.java,28
commons-validator,org.apache.commons.validator.routines,CreditCardValidator.CreditCardRange,5,0,0,0,38,0,0,0,-1.0,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\CreditCardValidator.java,86
commons-validator,org.apache.commons.validator.routines,CurrencyValidator,3,0,4,3,58,8,0,3,1.0,1,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\CurrencyValidator.java,22
commons-validator,org.apache.commons.validator.routines,DateValidator,2,0,19,17,201,20,0,2,0.6842105263157895,2,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\DateValidator.java,26
commons-validator,org.apache.commons.validator.routines,DomainValidator,32,0,20,13,0,74,0,0,0.0,7,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\DomainValidator.java,25
commons-validator,org.apache.commons.validator.routines,DomainValidator.ArrayType,0,0,0,0,38,0,0,0,-1.0,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\DomainValidator.java,66
commons-validator,org.apache.commons.validator.routines,DomainValidator.IDNBUGHOLDER,1,0,0,0,7,0,0,0,-1.0,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\DomainValidator.java,102
commons-validator,org.apache.commons.validator.routines,DomainValidator.Item,2,0,0,0,17,0,0,0,-1.0,0,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\DomainValidator.java,110
commons-validator,org.apache.commons.validator.routines,DomainValidator.LazyHolder,2,0,0,0,10,0,0,0,-1.0,0,1,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\DomainValidator.java,131
commons-validator,org.apache.commons.validator.routines,DoubleValidator,2,0,14,13,133,15,0,2,0.7857142857142857,1,0,C:\Summer 2024 Term\CSCI 3130\Assignment-3\commons-validator\src\main\java\org\apache\commons\validator\routines\DoubleValidator.java,22
