Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
commons-validator,org.apache.commons.validator.routines,DateValidatorTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCalendarValidatorTest
commons-validator,org.apache.commons.validator.routines,DomainValidatorStartupTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
commons-validator,org.apache.commons.validator.routines,DomainValidatorTest,Feature Envy,The tool detected a instance of this smell because testTopLevelDomains is more interested in members of the type: DomainValidator
commons-validator,org.apache.commons.validator.routines,DomainValidatorTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
commons-validator,org.apache.commons.validator.routines,DoubleValidatorTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractNumberValidatorTest
commons-validator,org.apache.commons.validator.routines,EmailValidatorTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
commons-validator,org.apache.commons.validator.routines,FloatValidatorTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractNumberValidatorTest
commons-validator,org.apache.commons.validator.routines,InetAddressValidatorTest,Feature Envy,The tool detected a instance of this smell because testBrokenInetAddresses is more interested in members of the type: InetAddressValidator
commons-validator,org.apache.commons.validator.routines,IntegerValidatorTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractNumberValidatorTest
commons-validator,org.apache.commons.validator.routines,LongValidatorTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractNumberValidatorTest
commons-validator,org.apache.commons.validator.routines,ShortValidatorTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractNumberValidatorTest
commons-validator,org.apache.commons.validator.routines,TimeValidatorTest,Feature Envy,The tool detected a instance of this smell because testCompare is more interested in members of the type: TimeValidator
commons-validator,org.apache.commons.validator.routines,UrlValidatorTest,Multifaceted Abstraction,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.868421052631579
commons-validator,org.apache.commons.validator.routines,UrlValidatorTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 36 public methods
commons-validator,org.apache.commons.validator.routines.checkdigit,ABANumberCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ABAN_CHECK_DIGIT; POSITION_WEIGHT
commons-validator,org.apache.commons.validator.routines.checkdigit,ABANumberCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModulusCheckDigit
commons-validator,org.apache.commons.validator.routines.checkdigit,AbstractCheckDigit,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
commons-validator,org.apache.commons.validator.routines.checkdigit,CUSIPCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; CUSIP_CHECK_DIGIT; POSITION_WEIGHT
commons-validator,org.apache.commons.validator.routines.checkdigit,CUSIPCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModulusCheckDigit
commons-validator,org.apache.commons.validator.routines.checkdigit,EAN13CheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; EAN13_CHECK_DIGIT; POSITION_WEIGHT
commons-validator,org.apache.commons.validator.routines.checkdigit,EAN13CheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModulusCheckDigit
commons-validator,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: MIN_CODE_LEN; serialVersionUID; MAX_ALPHANUMERIC_VALUE; IBAN_CHECK_DIGIT; MAX; MODULUS
commons-validator,org.apache.commons.validator.routines.checkdigit,IBANCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCheckDigit
commons-validator,org.apache.commons.validator.routines.checkdigit,ISBN10CheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ISBN10_CHECK_DIGIT
commons-validator,org.apache.commons.validator.routines.checkdigit,ISBN10CheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModulusCheckDigit
commons-validator,org.apache.commons.validator.routines.checkdigit,ISBNCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ISBN10_CHECK_DIGIT; ISBN13_CHECK_DIGIT; ISBN_CHECK_DIGIT
commons-validator,org.apache.commons.validator.routines.checkdigit,ISBNCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCheckDigit
commons-validator,org.apache.commons.validator.routines.checkdigit,ISINCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; MAX_ALPHANUMERIC_VALUE; ISIN_CHECK_DIGIT; POSITION_WEIGHT
commons-validator,org.apache.commons.validator.routines.checkdigit,ISINCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModulusCheckDigit
commons-validator,org.apache.commons.validator.routines.checkdigit,ISSNCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; ISSN_CHECK_DIGIT
commons-validator,org.apache.commons.validator.routines.checkdigit,ISSNCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModulusCheckDigit
commons-validator,org.apache.commons.validator.routines.checkdigit,LuhnCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; LUHN_CHECK_DIGIT; POSITION_WEIGHT
commons-validator,org.apache.commons.validator.routines.checkdigit,LuhnCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModulusCheckDigit
commons-validator,org.apache.commons.validator.routines.checkdigit,ModulusCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCheckDigit
commons-validator,org.apache.commons.validator.routines.checkdigit,ModulusCheckDigit,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: ABANumberCheckDigit; CASNumberCheckDigit; CUSIPCheckDigit; EAN13CheckDigit; ECNumberCheckDigit; ISBN10CheckDigit; ISINCheckDigit; ISSNCheckDigit; LuhnCheckDigit; ModulusTenCheckDigit; SedolCheckDigit
commons-validator,org.apache.commons.validator.routines.checkdigit,ModulusTenCheckDigit,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
commons-validator,org.apache.commons.validator.routines.checkdigit,SedolCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; MAX_ALPHANUMERIC_VALUE; SEDOL_CHECK_DIGIT; POSITION_WEIGHT
commons-validator,org.apache.commons.validator.routines.checkdigit,SedolCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): ModulusCheckDigit
commons-validator,org.apache.commons.validator.routines.checkdigit,VerhoeffCheckDigit,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: serialVersionUID; VERHOEFF_CHECK_DIGIT; D_TABLE; P_TABLE; INV_TABLE
commons-validator,org.apache.commons.validator.routines.checkdigit,VerhoeffCheckDigit,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractCheckDigit
